Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
Linear Probing,0,13,88,35,66,50,51,64,37,83,18
Linear Probing,1,16,85,36,65,58,43,80,21,98,3
Linear Probing,2,12,89,32,69,56,45,77,24,91,10
Linear Probing,3,10,91,31,70,44,57,70,31,86,15
Linear Probing,4,10,91,29,72,52,49,71,30,82,19
Linear Probing,5,9,92,32,69,53,48,65,36,83,18
Linear Probing,6,13,88,35,66,51,50,76,25,96,5
Linear Probing,7,14,87,33,68,56,45,77,24,98,3
Linear Probing,8,7,94,32,69,48,53,70,31,99,2
Linear Probing,9,7,94,26,75,47,54,66,35,81,20
Linear Probing,10,6,95,23,78,42,59,65,36,82,19
Linear Probing,11,10,91,23,78,41,60,64,37,85,16
Linear Probing,12,13,88,33,68,52,49,76,25,94,7
Linear Probing,13,6,95,28,73,42,59,61,40,85,16
Linear Probing,14,11,90,31,70,63,38,87,14,97,4
Linear Probing,15,6,95,22,79,42,59,57,44,88,13
Linear Probing,16,6,95,40,61,53,48,63,38,86,15
Linear Probing,17,7,94,25,76,48,53,63,38,79,22
Linear Probing,18,11,90,25,76,41,60,57,44,81,20
Linear Probing,19,10,91,38,63,59,42,78,23,99,2
Linear Probing,20,8,93,23,78,42,59,63,38,79,22
Linear Probing,21,11,90,27,74,42,59,70,31,84,17
Linear Probing,22,9,92,31,70,62,39,81,20,100,1
Linear Probing,23,8,93,27,74,46,55,69,32,86,15
Linear Probing,24,8,93,25,76,43,58,58,43,71,30
Linear Probing,25,13,88,32,69,63,38,84,17,101,0
Linear Probing,26,13,88,36,65,52,49,73,28,94,7
Linear Probing,27,10,91,28,73,51,50,72,29,96,5
Linear Probing,28,6,95,22,79,46,55,63,38,92,9
Linear Probing,29,15,86,31,70,53,48,75,26,97,4
Linear Probing,30,13,88,31,70,43,58,69,32,94,7
Linear Probing,31,17,84,35,66,59,42,75,26,101,0
Linear Probing,32,9,92,25,76,40,61,60,41,93,8
Linear Probing,33,8,93,32,69,55,46,73,28,94,7
Linear Probing,34,12,89,29,72,48,53,66,35,89,12
Linear Probing,35,13,88,32,69,50,51,67,34,94,7
Linear Probing,36,3,98,28,73,56,45,69,32,89,12
Linear Probing,37,9,92,29,72,51,50,73,28,91,10
Linear Probing,38,8,93,22,79,48,53,74,27,88,13
Linear Probing,39,10,91,27,74,53,48,84,17,101,0
Linear Probing,40,7,94,30,71,50,51,73,28,88,13
Linear Probing,41,11,90,34,67,54,47,76,25,99,2
Linear Probing,42,8,93,27,74,44,57,65,36,87,14
Linear Probing,43,11,90,30,71,49,52,66,35,90,11
Linear Probing,44,7,94,29,72,48,53,75,26,90,11
Linear Probing,45,7,94,29,72,58,43,75,26,93,8
Linear Probing,46,8,93,27,74,47,54,75,26,91,10
Linear Probing,47,12,89,31,70,49,52,78,23,100,1
Linear Probing,48,15,86,36,65,64,37,83,18,101,0
Linear Probing,49,14,87,30,71,49,52,62,39,91,10
Linear Probing,50,14,87,37,64,52,49,73,28,93,8
Linear Probing,51,8,93,28,73,45,56,67,34,91,10
Linear Probing,52,12,89,33,68,57,44,74,27,98,3
Linear Probing,53,13,88,27,74,55,46,78,23,95,6
Linear Probing,54,11,90,37,64,55,46,79,22,101,0
Linear Probing,55,10,91,37,64,47,54,61,40,77,24
Linear Probing,56,13,88,34,67,52,49,76,25,89,12
Linear Probing,57,12,89,37,64,56,45,76,25,97,4
Linear Probing,58,11,90,25,76,45,56,59,42,79,22
Linear Probing,59,13,88,32,69,40,61,65,36,83,18
Linear Probing,60,14,87,34,67,44,57,65,36,93,8
Linear Probing,61,7,94,28,73,49,52,68,33,85,16
Linear Probing,62,10,91,27,74,41,60,58,43,82,19
Linear Probing,63,10,91,30,71,57,44,77,24,99,2
Linear Probing,64,6,95,26,75,45,56,74,27,92,9
Linear Probing,65,11,90,35,66,55,46,78,23,95,6
Linear Probing,66,11,90,30,71,51,50,74,27,90,11
Linear Probing,67,15,86,40,61,62,39,85,16,98,3
Linear Probing,68,6,95,20,81,38,63,58,43,78,23
Linear Probing,69,15,86,34,67,61,40,79,22,99,2
Linear Probing,70,8,93,22,79,47,54,61,40,86,15
Linear Probing,71,8,93,30,71,44,57,62,39,87,14
Linear Probing,72,14,87,37,64,55,46,75,26,100,1
Linear Probing,73,9,92,38,63,54,47,78,23,96,5
Linear Probing,74,5,96,28,73,51,50,79,22,101,0
Linear Probing,75,11,90,28,73,47,54,72,29,96,5
Linear Probing,76,11,90,25,76,46,55,64,37,80,21
Linear Probing,77,15,86,32,69,48,53,58,43,84,17
Linear Probing,78,10,91,36,65,55,46,67,34,94,7
Linear Probing,79,9,92,23,78,39,62,64,37,98,3
Linear Probing,80,7,94,30,71,48,53,74,27,92,9
Linear Probing,81,11,90,37,64,54,47,81,20,101,0
Linear Probing,82,13,88,30,71,53,48,67,34,87,14
Linear Probing,83,12,89,36,65,51,50,72,29,84,17
Linear Probing,84,10,91,23,78,45,56,67,34,95,6
Linear Probing,85,6,95,23,78,44,57,64,37,83,18
Linear Probing,86,15,86,37,64,56,45,74,27,97,4
Linear Probing,87,6,95,22,79,51,50,67,34,89,12
Linear Probing,88,4,97,25,76,48,53,66,35,92,9
Linear Probing,89,7,94,30,71,57,44,80,21,98,3
Linear Probing,90,14,87,31,70,52,49,70,31,86,15
Linear Probing,91,12,89,32,69,54,47,76,25,87,14
Linear Probing,92,10,91,38,63,60,41,74,27,100,1
Linear Probing,93,9,92,32,69,55,46,70,31,85,16
Linear Probing,94,10,91,34,67,57,44,85,16,95,6
Linear Probing,95,6,95,29,72,48,53,66,35,85,16
Linear Probing,96,9,92,31,70,58,43,74,27,99,2
Linear Probing,97,9,92,32,69,53,48,71,30,88,13
Linear Probing,98,7,94,34,67,51,50,66,35,84,17
Linear Probing,99,1,9,2,8,3,7,5,5,8,2
Quadratic Probing,0,13,88,35,66,49,52,63,38,86,15
Quadratic Probing,1,16,85,36,65,59,42,80,21,93,8
Quadratic Probing,2,12,89,32,69,56,45,77,24,94,7
Quadratic Probing,3,10,91,31,70,44,57,70,31,87,14
Quadratic Probing,4,10,91,29,72,51,50,69,32,81,20
Quadratic Probing,5,9,92,32,69,54,47,65,36,83,18
Quadratic Probing,6,13,88,35,66,51,50,76,25,93,8
Quadratic Probing,7,14,87,33,68,56,45,78,23,96,5
Quadratic Probing,8,7,94,32,69,48,53,72,29,96,5
Quadratic Probing,9,7,94,26,75,47,54,65,36,85,16
Quadratic Probing,10,6,95,23,78,42,59,66,35,88,13
Quadratic Probing,11,10,91,23,78,41,60,63,38,83,18
Quadratic Probing,12,13,88,33,68,52,49,74,27,92,9
Quadratic Probing,13,6,95,28,73,42,59,64,37,87,14
Quadratic Probing,14,11,90,31,70,62,39,81,20,93,8
Quadratic Probing,15,6,95,22,79,43,58,63,38,91,10
